07:21:36.420 logd             (10d163 10d163): INFO : Starting logd
07:21:46.435 feo::scheduler                                  (10d1aa 10d1aa): DEBUG: Triggering startup for activity A10
07:21:46.435 feo::scheduler                                  (10d1aa 10d1aa): DEBUG: Triggering startup for activity A11
07:21:46.435 feo::scheduler                                  (10d1aa 10d1aa): DEBUG: Triggering startup for activity A12
07:21:46.435 feo::scheduler                                  (10d1aa 10d1aa): DEBUG: Triggering startup for activity A13
07:21:46.435 feo::worker                                     (10d22a 10d22d): DEBUG: Ran startup of activity GenericId { id: 8, _discriminator: PhantomData<feo::ids::ActivityIdMarker> } in 17.283µs
07:21:46.435 mini_adas::activities::components               (10d22a 10d22d): INFO : 🤖 DashboardPublisher started - creating DDS writer for DashboardData
07:21:46.435 mini_adas::activities::components               (10d1dd 10d1df): INFO : 🤖 Driver Monitoring System started
07:21:46.435 feo::worker                                     (10d1dd 10d1df): DEBUG: Ran startup of activity GenericId { id: 11, _discriminator: PhantomData<feo::ids::ActivityIdMarker> } in 32.404µs
07:21:46.435 mini_adas::activities::components               (10d22a 10d22c): INFO : ✅ KVS successfully initialized for EmergencyBraking
07:21:46.435 feo::worker                                     (10d22a 10d22c): DEBUG: Running worker W43
07:21:46.435 feo::worker                                     (10d22a 10d22c): DEBUG: Ran startup of activity GenericId { id: 5, _discriminator: PhantomData<feo::ids::ActivityIdMarker> } in 7.168µs
07:21:46.435 mini_adas::activities::components               (10d22a 10d22c): DEBUG: EmergencyBraking component starting up with persistency
07:21:46.435 feo::worker                                     (10d22a 10d22c): DEBUG: Ran startup of activity GenericId { id: 6, _discriminator: PhantomData<feo::ids::ActivityIdMarker> } in 25.165µs
07:21:46.435 feo::worker                                     (10d22a 10d22c): DEBUG: Ran startup of activity GenericId { id: 7, _discriminator: PhantomData<feo::ids::ActivityIdMarker> } in 4.766µs
07:21:46.435 feo::worker                                     (10d22a 10d22c): DEBUG: Ran startup of activity GenericId { id: 10, _discriminator: PhantomData<feo::ids::ActivityIdMarker> } in 4.839µs
07:21:46.436 mini_adas::activities::components               (10d22a 10d22d): INFO : ✅ DashboardPublisher DDS writer ready
07:21:46.636 feo::worker                                     (10d22a 10d22d): DEBUG: Ran startup of activity GenericId { id: 9, _discriminator: PhantomData<feo::ids::ActivityIdMarker> } in 201.692385ms
07:21:46.636 mini_adas::activities::components               (10d22a 10d22d): INFO : 🤖 Lane Keep Assistance System started (lane 2)
07:21:46.636 feo::worker                                     (10d22a 10d22d): DEBUG: Ran startup of activity GenericId { id: 12, _discriminator: PhantomData<feo::ids::ActivityIdMarker> } in 35.395µs
07:21:46.636 mini_adas::activities::components               (10d22a 10d22d): INFO : 🤖 DistractionPublisher started - creating DDS writer
07:21:46.638 mini_adas::activities::components               (10d22a 10d22d): INFO : ✅ DistractionPublisher DDS writer ready
07:21:46.838 feo::worker                                     (10d22a 10d22d): DEBUG: Ran startup of activity GenericId { id: 13, _discriminator: PhantomData<feo::ids::ActivityIdMarker> } in 201.547464ms
07:21:46.838 feo::scheduler                                  (10d1aa 10d1aa): DEBUG: Starting task chain
07:21:46.838 feo::scheduler                                  (10d1aa 10d1aa): DEBUG: Triggering step for activity A11
07:21:46.838 feo::scheduler                                  (10d1aa 10d1aa): DEBUG: Triggering step for activity A0
07:21:46.838 feo::scheduler                                  (10d1aa 10d1aa): DEBUG: Triggering step for activity A1
07:21:46.838 mini_adas::activities::components               (10d1aa 10d1ae): DEBUG: Stepping Radar
07:21:46.838 mini_adas::activities::components               (10d1aa 10d1ad): DEBUG: Stepping Camera
07:21:46.838 mini_adas::activities::components               (10d1dd 10d1df): DEBUG: Stepping DMS
07:21:46.852 mini_adas::activities::components               (10d1dd 10d1df): DEBUG: 🚨 DMS: Driver became distracted (gaze: Right)
07:21:46.852 mini_adas::activities::components               (10d1dd 10d1df): DEBUG: DMS: distraction=0ms, gaze=Right, status=Distracted
07:21:46.852 feo::worker                                     (10d1dd 10d1df): DEBUG: Stepped activity GenericId { id: 11, _discriminator: PhantomData<feo::ids::ActivityIdMarker> } in 13.37158ms
07:21:46.852 feo::scheduler                                  (10d1aa 10d1aa): DEBUG: Triggering step for activity A13
07:21:46.852 mini_adas::activities::components               (10d22a 10d22d): DEBUG: Stepping DistractionPublisher
